ascii_value,name_len,num_vowels,num_consonent,last_letter_vowel,class
102.0,7,4,3,1,1
102.667,6,3,3,1,1
102.4,5,3,2,1,1
100.333,6,4,2,1,1
101.0,5,3,2,1,1
101.0,5,4,1,1,1
102.0,5,4,1,1,1
102.333,6,4,2,0,1
102.333,6,4,2,1,1
102.833,6,4,2,1,1
103.0,7,4,3,0,1
100.667,6,4,2,0,1
103.571,7,4,3,0,1
100.8,5,4,1,1,1
101.333,6,4,2,0,1
104.167,6,4,2,1,1
104.143,7,4,3,0,1
104.143,7,4,3,1,1
104.625,8,4,4,0,1
104.0,6,3,3,0,1
104.143,7,4,3,0,1
102.5,6,4,2,1,1
102.5,6,4,2,1,1
102.714,7,4,3,0,1
103.167,6,4,2,1,1
104.286,7,4,3,0,1
105.5,6,4,2,1,1
101.714,7,3,4,0,1
102.167,6,4,2,1,1
104.5,6,4,2,1,1
104.429,7,4,3,0,1
104.667,6,3,3,1,1
105.4,5,3,2,1,1
104.4,5,3,2,1,1
103.375,8,4,4,1,1
106.286,7,3,4,0,1
106.75,8,3,5,0,1
103.8,5,3,2,0,1
102.0,5,4,1,1,1
102.333,6,4,2,0,1
102.429,7,5,2,1,1
102.833,6,4,2,1,1
104.6,5,3,2,0,1
104.667,6,4,2,1,1
105.167,6,4,2,1,1
105.0,7,4,3,0,1
103.0,5,3,2,1,1
104.667,6,4,2,1,1
105.8,5,3,2,0,1
105.8,5,3,2,1,1
107.0,7,4,3,1,1
106.2,5,3,2,1,1
105.2,5,3,2,1,1
107.8,5,2,3,0,1
102.0,5,3,2,1,1
103.6,5,3,2,1,1
103.333,6,3,3,1,1
105.444,9,4,5,1,1
106.0,6,3,3,1,1
102.2,5,4,1,1,1
105.143,7,4,3,0,1
104.333,6,3,3,1,1
102.25,4,3,1,1,1
106.0,5,3,2,1,1
105.6,5,3,2,0,1
104.0,5,3,2,1,1
105.2,5,3,2,1,1
108.0,7,4,3,1,1
100.714,7,4,3,0,1
102.75,8,4,4,1,1
100.75,8,5,3,0,1
100.375,8,4,4,0,1
98.5,4,2,2,1,1
103.0,5,2,3,0,1
99.5,4,2,2,1,1
99.8,5,3,2,1,1
101.333,9,5,4,0,1
101.375,8,4,4,0,1
100.875,8,4,4,1,1
103.111,9,4,5,1,1
103.5,4,1,3,0,1
103.0,5,2,3,1,1
103.375,8,3,5,0,1
102.875,8,3,5,1,1
104.889,9,3,6,1,1
